计算文件哈希值
hash,size,count,files
7a8fc3e258141fecf3ac726f6470d1f4,239289,2,.venv/lib/python3.13/site-packages/idna/uts46data.py|.venv/lib/python3.13/site-packages/pip/_vendor/idna/uts46data.py
52a6c004443a28d3654df52518e18234,119328,3,.venv/bin/python3|.venv/bin/python|.venv/bin/python3.13
f4935e39cd1008b6677ecaff658b51d4,182784,2,.venv/lib/python3.13/site-packages/distlib/t64-arm.exe|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/t64-arm.exe
79ef49f5145a0b66a49bf177fa5fd85f,168448,2,.venv/lib/python3.13/site-packages/distlib/w64-arm.exe|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/w64-arm.exe
ee5b0bcdbc8329e0635631715fba318b,140235,2,.venv/lib/python3.13/site-packages/rich/_emoji_codes.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/_emoji_codes.py
19d621a4b2d26d8fa8002548a1b04a32,108032,2,.venv/lib/python3.13/site-packages/distlib/t64.exe|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/t64.exe
d65d7ad7e65f344463755bb62d8ebf38,101888,2,.venv/lib/python3.13/site-packages/distlib/w64.exe|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/w64.exe
07894acc08732f8b6adade78d3038376,97792,2,.venv/lib/python3.13/site-packages/distlib/t32.exe|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/t32.exe
2e91e902dcf13c131281786258a279a3,91648,2,.venv/lib/python3.13/site-packages/distlib/w32.exe|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/w32.exe
6299ac3c46a725d3d2f781b45bc86823,78306,2,.venv/lib/python3.13/site-packages/idna/idnadata.py|.venv/lib/python3.13/site-packages/pip/_vendor/idna/idnadata.py
86d3f3a95c324c9479bd8986968f4327,11357,7,.venv/lib/python3.13/site-packages/opentelemetry_exporter_otlp_proto_http-1.33.1.dist-info/licenses/LICENSE|.venv/lib/python3.13/site-packages/opentelemetry_instrumentation-0.54b1.dist-info/licenses/LICENSE|.venv/lib/python3.13/site-packages/opentelemetry_semantic_conventions-0.54b1.dist-info/licenses/LICENSE|.venv/lib/python3.13/site-packages/opentelemetry_exporter_otlp_proto_common-1.33.1.dist-info/licenses/LICENSE|.venv/lib/python3.13/site-packages/opentelemetry_sdk-1.33.1.dist-info/licenses/LICENSE|.venv/lib/python3.13/site-packages/opentelemetry_proto-1.33.1.dist-info/licenses/LICENSE|.venv/lib/python3.13/site-packages/opentelemetry_api-1.33.1.dist-info/licenses/LICENSE
3f732b3a89303bbd73855eaa78cc532f,66682,2,.venv/lib/python3.13/site-packages/distlib/util.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/util.py
de812a0adab7547a42601d9d9c8b1397,63208,2,.venv/lib/python3.13/site-packages/pygments/unistring.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/unistring.py
45b0c292d664d475164c4fdf97ab3790,51160,2,.venv/lib/python3.13/site-packages/distlib/database.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/database.py
05ecd1931d751b701b5ea0ec5a53da6e,51026,2,.venv/lib/python3.13/site-packages/distlib/locators.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/locators.py
313a72cf4425cf31a445d4745d659eb3,48398,2,.venv/lib/python3.13/site-packages/pip/_vendor/packaging/licenses/_spdx.py|.venv/lib/python3.13/site-packages/packaging/licenses/_spdx.py
2ee92159fb5c8270cb7abb150ad4b548,43979,2,.venv/lib/python3.13/site-packages/distlib/wheel.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/wheel.py
603a53a9e2de9d912de1dedd4b856a13,41467,2,.venv/lib/python3.13/site-packages/distlib/compat.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/compat.py
ece60750b1ff238bfc8321839eef38f8,38724,2,.venv/lib/python3.13/site-packages/distlib/metadata.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/metadata.py
ee8b2dc81acd1ed83a5aadc71d839ce7,730,53,.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_roman.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/tis_620.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_croatian.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1258.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/ptcp154.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/hp_roman8.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_romanian.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_iceland.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_5.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_centeuro.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_16.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_turkish.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_4.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_6.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_15.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp856.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_14.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_7.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_3.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_10.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_11.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_2.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1006.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp273.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_farsi.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_13.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp500.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_1.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp874.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp875.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_greek.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1140.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_cyrillic.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/mac_latin2.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp720.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_9.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso8859_8.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1026.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1257.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1256.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp037.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1254.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/koi8_u.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/koi8_t.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp424.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1255.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1251.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/kz1048.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1250.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1252.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/palmos.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/koi8_r.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp1253.pyi
7cfeeeeb4a2be7848c92ae82b5c9f6a1,34739,2,.venv/lib/python3.13/site-packages/packaging/metadata.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/metadata.py
fd6fa1069669812de222d61d2288ff75,30495,2,.venv/lib/python3.13/site-packages/requests/sessions.py|.venv/lib/python3.13/site-packages/pip/_vendor/requests/sessions.py
64caed94b0a641ab5139dab39576a516,29000,2,test_data/文档/large_a.txt|test_data/文档/large_b.txt
5c9bfa38ec0ac818617fba6d8b98f9cc,27059,2,.venv/lib/python3.13/site-packages/rich/style.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/style.py
1010a04fa977c31cf1c5a4e1783911f0,25474,2,htmlcov/coverage_html_cb_6fb7b396.js|.venv/lib/python3.13/site-packages/coverage/htmlfiles/coverage_html.js
de186d521247ccd3d66e90ead8f7a3b2,23727,2,.venv/lib/python3.13/site-packages/distlib/version.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/version.py
343d067796e4b905805026a1740edf57,22745,2,.venv/lib/python3.13/site-packages/packaging/tags.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/tags.py
b5d3ebfb8bdcb8319a2a3f3d2f376ebb,920,24,.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/big5hkscs.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_jp_2004.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp950.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/gbk.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/euc_jis_2004.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/shift_jisx0213.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/gb18030.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/euc_kr.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/shift_jis_2004.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/euc_jisx0213.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_jp_1.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp932.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_jp_3.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/euc_jp.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_jp_2.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/big5.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/johab.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/shift_jis.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_kr.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/hz.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/gb2312.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/cp949.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_jp_ext.pyi|.venv/lib/python3.13/site-packages/mypy/typeshed/stdlib/encodings/iso2022_jp.pyi
